query,stock_name,stock_code,pass_count,error,created_at
현대로템,현대로템,64350.0,8,,2025-05-04 15:25:24
현대로템,현대로템,64350.0,8,,2025-05-04 15:25:25
현대로템,현대로템,64350.0,8,,2025-05-04 15:25:42
현대로템,현대로템,64350.0,8,,2025-05-04 15:25:43
클래시스,클래시스,214150.0,8,,2025-05-04 15:26:11
현대로템,현대로템,64350.0,8,,2025-05-04 15:26:23
파마리서치,파마리서치,214450.0,8,,2025-05-04 15:26:42
한화엔진,한화엔진,82740.0,8,,2025-05-04 15:29:01
한화오션,한화오션,42660.0,8,,2025-05-04 15:29:39
한화오션,한화오션,42660.0,8,,2025-05-04 15:29:40
Ls,,,0,종목을 찾을 수 없습니다. 정확히 입력하거나 자동완성에서 선택해 주세요.,2025-05-04 15:30:42
006260,LS,6260.0,5,,2025-05-04 15:31:18
006260,LS,6260.0,5,,2025-05-04 15:31:20
글로벌텍스프리,글로벌텍스프리,204620.0,8,,2025-05-04 15:32:03
삼성제약,삼성제약,1360.0,0,,2025-05-04 15:36:15
298040,효성중공업,298040.0,8,,2025-05-04 15:42:15
298040,효성중공업,298040.0,8,,2025-05-04 15:42:16
이크레더블,이크레더블,92130.0,7,,2025-05-04 15:43:05
펌텍코리아,펌텍코리아,251970.0,8,,2025-05-04 15:43:26
애니플러스,애니플러스,310200.0,7,,2025-05-04 15:43:40
디어유,디어유,376300.0,8,,2025-05-04 15:45:27
노머스,,,0,RS 데이터가 없습니다.,2025-05-04 15:45:39
노머스,,,0,RS 데이터가 없습니다.,2025-05-04 15:45:48
에스엠,에스엠,41510.0,8,,2025-05-04 15:46:03
호텔신라,호텔신라,8770.0,2,,2025-05-04 16:09:47
에스엠,에스엠,41510.0,8,,2025-05-04 16:10:19
에스엠,에스엠,41510.0,8,,2025-05-04 16:10:20
JYP Ent.,JYP Ent.,35900.0,8,,2025-05-04 16:10:33
JYP Ent.,JYP Ent.,35900.0,8,,2025-05-04 16:10:34
신영증권,신영증권,1720.0,8,,2025-05-04 16:11:02
롯데관광개발,롯데관광개발,32350.0,5,,2025-05-04 16:12:56
오리온홀딩스,오리온홀딩스,1800.0,8,,2025-05-04 16:13:35
오리온홀딩스,오리온홀딩스,1800.0,8,,2025-05-04 16:13:36
삼성물산,삼성물산,28260.0,2,,2025-05-04 16:14:09
KPX홀딩스,KPX홀딩스,92230.0,5,,2025-05-04 16:14:38
KPX홀딩스,KPX홀딩스,92230.0,5,,2025-05-04 16:14:40
아이씨티케이,,,0,RS 데이터가 없습니다.,2025-05-04 16:15:11
파라다이스,파라다이스,34230.0,5,,2025-05-04 16:15:29
파라다이스,파라다이스,34230.0,5,,2025-05-04 16:15:30
노루홀딩스,노루홀딩스,320.0,8,,2025-05-04 16:15:55
노루홀딩스,노루홀딩스,320.0,8,,2025-05-04 16:15:56
농심홀딩스,농심홀딩스,72710.0,3,,2025-05-04 16:16:22
스튜디오드래곤,스튜디오드래곤,253450.0,8,,2025-05-04 16:16:48
스튜디오드래곤,스튜디오드래곤,253450.0,8,,2025-05-04 16:16:49
삼성증권,삼성증권,16360.0,8,,2025-05-04 16:17:08
005930,삼성전자,5930.0,0,,2025-05-04 16:38:56
효성중공업,효성중공업,298040.0,8,,2025-05-04 16:39:13
효성중공업,효성중공업,298040.0,8,,2025-05-04 16:39:14
한화에어로스페이스,한화에어로스페이스,12450.0,8,,2025-05-04 16:40:22
005930,삼성전자,5930.0,0,,2025-05-04 16:48:12
HD한국조선해양,HD한국조선해양,9540.0,8,,2025-05-04 16:48:32
HD한국조선해양,HD한국조선해양,9540.0,8,,2025-05-04 16:48:33
에스엠,에스엠,41510.0,8,,2025-05-04 16:49:03
제닉,제닉,123330.0,8,,2025-05-04 17:14:25
LS ELECTRIC,LS ELECTRIC,10120.0,5,,2025-05-04 17:34:05
지엔씨에너지,지엔씨에너지,119850.0,8,,2025-05-04 18:05:17
주성엔지니어링,주성엔지니어링,36930.0,5,,2025-05-04 18:05:49
204620,글로벌텍스프리,204620.0,8,,2025-05-04 19:06:27
동성화인텍,동성화인텍,33500.0,8,,2025-05-04 19:06:49
동성화인텍,동성화인텍,33500.0,8,,2025-05-04 19:06:51
동성화인텍,동성화인텍,33500.0,8,,2025-05-04 19:06:52
한화에어로스페이스,한화에어로스페이스,12450.0,8,,2025-05-04 19:07:06
노머스,,,0,RS 데이터가 없습니다.,2025-05-04 19:07:14
노머스,,,0,RS 데이터가 없습니다.,2025-05-04 19:07:20
노머스,,,0,RS 데이터가 없습니다.,2025-05-04 19:07:21
클래시스,클래시스,214150.0,8,,2025-05-04 19:07:26
클래시스,클래시스,214150.0,8,,2025-05-04 19:07:28
쎄트렉아이,쎄트렉아이,99320.0,6,,2025-05-04 19:07:49
비에이치아이,비에이치아이,83650.0,8,,2025-05-04 19:08:47
에스엠,에스엠,41510.0,8,,2025-05-04 19:09:19
삼성전자,삼성전자,5930.0,0,,2025-05-04 19:34:27
지엔씨에너지,지엔씨에너지,119850.0,8,,2025-05-04 19:39:36
지엔씨에너지,지엔씨에너지,119850.0,8,,2025-05-04 19:39:37
삼성전자,삼성전자,5930.0,0,,2025-05-04 20:37:06
삼성전자,삼성전자,5930.0,0,,2025-05-04 20:37:07
효성중공업,효성중공업,298040.0,8,,2025-05-04 20:37:46
효성중공업,효성중공업,298040.0,8,,2025-05-04 20:37:48
효성중공업,효성중공업,298040.0,8,,2025-05-04 20:47:36
효성중공업,효성중공업,298040.0,8,,2025-05-04 20:47:36
오리엔트정공,오리엔트정공,65500.0,6,,2025-05-04 21:17:36
올릭스,올릭스,226950.0,8,,2025-05-04 21:20:47
클로봇,,,0,RS 데이터가 없습니다.,2025-05-04 22:07:58
클로봇,,,0,RS 데이터가 없습니다.,2025-05-04 22:07:59
한화오션,한화오션,42660.0,8,,2025-05-04 22:13:20
한화오션,한화오션,42660.0,8,,2025-05-04 22:13:21
클로봇,,,0,RS 데이터가 없습니다.,2025-05-04 22:13:42
비에치아이,,,0,종목을 찾을 수 없습니다. 정확히 입력하거나 자동완성에서 선택해 주세요.,2025-05-04 22:13:55
비에이치아이,비에이치아이,83650.0,8,,2025-05-04 22:14:04
삼지전자,삼지전자,37460.0,8,,2025-05-04 22:23:27
아셈스,아셈스,136410.0,8,,2025-05-04 22:23:56
셀트리온,셀트리온,68270.0,1,,2025-05-04 22:24:29
두산에너빌리티,두산에너빌리티,34020.0,8,,2025-05-04 22:30:37
삼성전자,삼성전자,5930.0,0,,2025-05-04 22:31:29
기아,기아,270.0,0,,2025-05-04 22:31:49
한화에너지,한화,880.0,8,,2025-05-04 22:32:02
웅진씽크빅,웅진씽크빅,95720.0,1,,2025-05-04 22:42:17
웅진,웅진,16880.0,5,,2025-05-04 22:42:38
퓨얼샐,,,0,종목을 찾을 수 없습니다. 정확히 입력하거나 자동완성에서 선택해 주세요.,2025-05-04 22:44:41
효성중공업,효성중공업,298040.0,8,,2025-05-04 22:46:30
지엔씨에너지,지엔씨에너지,119850.0,8,,2025-05-04 22:57:53
삼성전자,삼성전자,5930.0,0,,2025-05-04 23:58:48
삼성존저,,,0,종목을 찾을 수 없습니다. 정확히 입력하거나 자동완성에서 선택해 주세요.,2025-05-05 00:11:51
삼성전자,삼성전자,5930.0,0,,2025-05-05 00:12:03
글로벌텍스프리,글로벌텍스프리,204620.0,8,,2025-05-05 00:15:44
HD현대일렉트릭,HD현대일렉트릭,267260.0,4,,2025-05-05 00:36:50
HD현대일렉트릭,HD현대일렉트릭,267260.0,4,,2025-05-05 00:36:51
인벤티지랩,인벤티지랩,389470.0,8,,2025-05-05 00:37:03
제룡전기,제룡전기,33100.0,0,,2025-05-05 00:38:37
삼성전자,삼성전자,5930.0,0,,2025-05-05 00:46:56
삼성전자,삼성전자,5930.0,0,,2025-05-05 01:23:49
한화에어로스페이스,한화에어로스페이스,12450.0,8,,2025-05-05 03:45:49
카페24,카페24,42000.0,8,,2025-05-05 03:46:08
카페24,카페24,42000.0,8,,2025-05-05 03:46:09
글로벌텍스프리,글로벌텍스프리,204620.0,8,,2025-05-05 03:46:17
글로벌텍스프리,글로벌텍스프리,204620.0,8,,2025-05-05 03:46:18
고려아연,고려아연,10130.0,5,,2025-05-05 03:46:24
삼성전자,삼성전자,5930.0,0,,2025-05-05 03:46:41
삼성전자,삼성전자,5930.0,0,,2025-05-05 03:46:42
한국콜마,한국콜마,161890.0,7,,2025-05-05 04:07:42
삼양식품,삼양식품,3230.0,8,,2025-05-05 04:23:25
005930,삼성전자,5930.0,0,,2025-05-05 05:24:57
025540,한국단자,25540.0,2,,2025-05-05 05:25:25
삼성전자,삼성전자,5930.0,0,,2025-05-05 05:49:49
삼성전자,삼성전자,5930.0,0,,2025-05-05 05:49:51
한미반도체,한미반도체,42700.0,0,,2025-05-05 05:50:04
삼성바이오로직스,삼성바이오로직스,207940.0,8,,2025-05-05 06:16:09
삼성바이오로직스,삼성바이오로직스,207940.0,8,,2025-05-05 06:16:10
하나30호스팩,하나30호스팩,469880.0,2,,2025-05-05 06:18:51
LIG넥스원,LIG넥스원,79550.0,8,,2025-05-05 06:21:29
브이티,브이티,18290.0,8,,2025-05-05 06:25:12
